n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
1,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
2,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
3,0.99792,44.56571,0.99952,60.0,0.99957,0.99597,0.99973,0.99988,0.99991,100.0,0.01,0.01,0.01,0.01,68.52,67.96,67.55,68.96,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
4,0.99411,44.56571,0.99857,60.0,0.99868,0.98766,0.999,0.99948,0.99969,100.0,0.03,0.04,0.04,0.03,62.95,62.58,62.32,63.23,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
5,0.99633,45.46544,0.9961,60.0,0.99627,0.98332,0.99892,0.9995,0.99976,100.0,0.05,0.06,0.06,0.05,60.91,60.66,60.19,61.18,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
6,0.99865,0.19263,0.99404,60.0,0.99426,0.98598,0.99938,0.99974,0.99987,100.0,0.04,0.05,0.05,0.04,61.67,61.41,61.19,61.86,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
7,0.99855,0.19263,0.99405,60.0,0.99427,0.98561,0.99937,0.99975,0.99987,100.0,0.05,0.05,0.05,0.05,61.36,61.12,60.77,61.59,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
8,0.99877,0.34033,0.99405,60.0,0.99427,0.98678,0.99945,0.99976,0.99987,100.0,0.04,0.04,0.04,0.04,62.19,61.95,61.67,62.39,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
9,0.99862,0.08989,0.99405,60.0,0.99427,0.98613,0.99934,0.99972,0.99985,100.0,0.04,0.05,0.05,0.04,61.61,61.39,61.03,61.82,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
10,0.9988,0.08989,0.99404,60.0,0.99426,0.98653,0.99942,0.99976,0.99988,100.0,0.04,0.04,0.05,0.04,61.96,61.74,61.39,62.17,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
