n,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
1,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
2,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
3,0.01,0.01,0.02,0.01,67.24,67.42,65.91,67.6,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
4,0.02,0.03,0.03,0.02,64.23,63.63,63.37,64.64,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
5,0.05,0.06,0.07,0.05,61.0,60.67,59.96,61.4,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
6,0.04,0.05,0.05,0.04,61.8,61.49,61.19,62.06,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
7,0.05,0.05,0.05,0.04,61.51,61.24,60.93,61.75,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
8,0.04,0.04,0.04,0.04,62.26,61.93,61.71,62.5,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
9,0.04,0.05,0.05,0.04,61.73,61.47,61.11,61.97,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
10,0.04,0.04,0.05,0.04,61.99,61.71,61.34,62.24,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
11,0.04,0.05,0.05,0.04,61.73,61.36,61.1,62.0,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
12,0.04,0.04,0.05,0.04,62.21,61.83,61.53,62.5,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
13,0.04,0.05,0.05,0.04,61.82,61.42,61.29,62.08,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
14,0.04,0.04,0.05,0.04,62.02,61.71,61.32,62.3,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
15,0.05,0.05,0.05,0.04,61.55,61.09,60.97,61.84,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
16,0.04,0.04,0.04,0.04,62.36,61.98,61.77,62.63,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
17,0.05,0.05,0.05,0.04,61.56,61.16,60.84,61.87,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
18,0.04,0.05,0.05,0.04,62.01,61.55,61.39,62.31,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
19,0.05,0.05,0.05,0.04,61.51,61.12,60.87,61.8,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
20,0.04,0.04,0.04,0.03,62.49,62.12,61.89,62.75,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
21,0.04,0.05,0.05,0.04,61.68,61.26,60.9,62.01,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
22,0.04,0.04,0.05,0.04,62.1,61.7,61.39,62.4,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
23,0.04,0.04,0.05,0.04,62.0,61.77,61.46,62.2,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
24,0.04,0.04,0.04,0.03,62.5,62.16,61.84,62.78,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
25,0.04,0.05,0.05,0.04,61.67,61.26,61.02,61.96,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
26,0.04,0.05,0.05,0.04,61.97,61.55,61.19,62.31,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
27,0.04,0.05,0.05,0.04,61.62,61.06,60.88,61.98,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
28,0.04,0.04,0.05,0.04,62.3,62.04,61.58,62.58,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
29,0.04,0.05,0.05,0.04,61.61,60.99,60.76,62.04,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
30,0.04,0.04,0.05,0.04,62.05,61.64,61.41,62.33,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
31,0.05,0.05,0.05,0.04,61.55,61.08,60.82,61.88,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
32,0.04,0.04,0.04,0.04,62.29,61.94,61.76,62.52,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
33,0.05,0.05,0.05,0.04,61.51,61.07,60.83,61.82,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
34,0.04,0.05,0.05,0.04,61.99,61.59,61.38,62.27,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
35,0.04,0.05,0.05,0.04,61.61,61.25,60.93,61.9,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
36,0.03,0.04,0.04,0.03,62.81,62.39,62.21,63.1,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
37,0.04,0.04,0.05,0.04,61.86,61.73,61.2,62.08,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
38,0.04,0.04,0.04,0.04,62.33,62.21,61.79,62.5,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
39,0.04,0.04,0.04,0.04,62.36,62.25,61.82,62.54,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
40,0.03,0.03,0.04,0.03,63.21,62.86,62.62,63.46,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
41,0.04,0.04,0.04,0.03,62.63,62.34,61.97,62.89,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
42,0.03,0.04,0.04,0.03,62.72,62.46,62.11,62.96,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
43,0.04,0.04,0.04,0.03,62.68,62.44,62.01,62.93,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
44,0.03,0.03,0.04,0.03,63.09,62.72,62.48,63.35,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
45,0.03,0.04,0.04,0.03,62.79,62.5,62.24,63.02,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
46,0.03,0.04,0.04,0.03,62.85,62.57,62.27,63.09,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
47,0.04,0.04,0.04,0.03,62.56,62.37,61.98,62.78,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
48,0.04,0.04,0.04,0.03,62.68,62.32,62.05,62.95,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
49,0.04,0.05,0.05,0.04,61.69,61.19,60.84,62.07,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
50,0.04,0.04,0.05,0.04,62.21,61.84,61.48,62.51,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
51,0.04,0.05,0.05,0.04,61.95,61.49,61.05,62.33,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
52,0.03,0.04,0.04,0.03,62.94,62.61,62.33,63.2,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
53,0.04,0.05,0.05,0.04,61.85,61.43,61.07,62.18,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
54,0.04,0.04,0.05,0.04,62.17,61.75,61.45,62.48,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
55,0.04,0.05,0.05,0.04,61.86,61.33,60.97,62.27,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
56,0.03,0.03,0.04,0.03,63.21,62.85,62.6,63.48,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
57,0.04,0.04,0.05,0.04,62.04,61.66,61.21,62.39,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
58,0.04,0.04,0.04,0.03,62.48,62.16,61.75,62.77,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
59,0.04,0.04,0.04,0.04,62.42,62.12,61.78,62.68,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
60,0.03,0.03,0.03,0.03,63.43,63.06,62.83,63.69,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
61,0.04,0.04,0.04,0.04,62.42,62.16,61.83,62.65,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
62,0.04,0.04,0.04,0.03,62.69,62.46,62.05,62.92,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
63,0.04,0.04,0.04,0.03,62.62,62.48,61.96,62.83,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
64,0.03,0.03,0.03,0.03,63.46,63.08,62.86,63.72,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
65,0.03,0.04,0.04,0.03,62.69,62.59,62.15,62.86,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
66,0.03,0.03,0.04,0.03,62.89,62.69,62.29,63.1,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
67,0.03,0.03,0.04,0.03,62.94,62.85,62.52,63.07,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
68,0.03,0.03,0.03,0.03,63.48,63.06,62.85,63.76,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
