n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
1,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
2,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
3,0.99544,44.56571,0.99951,60.0,0.99957,0.9953,0.99925,0.99943,0.99953,100.0,0.01,0.01,0.02,0.01,67.59,67.6,66.3,67.97,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
4,0.99717,44.56571,0.99858,60.0,0.99868,0.99118,0.9995,0.99977,0.99987,100.0,0.02,0.02,0.03,0.02,64.65,64.37,64.09,64.88,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
5,0.99746,45.46544,0.99611,60.0,0.99627,0.98619,0.99915,0.99961,0.99979,100.0,0.04,0.05,0.05,0.04,61.9,61.56,61.1,62.22,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
6,0.99923,0.19263,0.99405,60.0,0.99426,0.98828,0.99952,0.9998,0.9999,100.0,0.04,0.04,0.04,0.03,62.59,62.29,61.92,62.86,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
7,0.99902,0.19263,0.99405,60.0,0.99427,0.98785,0.99946,0.99978,0.99989,100.0,0.04,0.04,0.04,0.04,62.3,62.09,61.87,62.48,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
8,0.99928,0.34033,0.99406,60.0,0.99427,0.98896,0.99957,0.99982,0.99991,100.0,0.03,0.03,0.04,0.03,63.1,62.83,62.57,63.32,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
9,0.99905,0.08989,0.99405,60.0,0.99427,0.98835,0.99949,0.99979,0.99989,100.0,0.04,0.04,0.04,0.03,62.56,62.33,62.09,62.75,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
10,0.9992,0.08989,0.99405,60.0,0.99426,0.98863,0.99956,0.99982,0.99991,100.0,0.03,0.04,0.04,0.03,62.82,62.54,62.29,63.03,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
