n,adm2,motion2,ms_ssim,psnr,ssim,vif_scale0,vif_scale1,vif_scale2,vif_scale3,vmaf,mse_avg,mse_u,mse_v,mse_y,psnr_avg,psnr_u,psnr_v,psnr_y,ssim_avg,ssim_u,ssim_v,ssim_y,input_file_dist,input_file_ref
1,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
2,1.0,0.0,0.99996,60.0,0.99996,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
3,0.99534,44.56571,0.9995,60.0,0.99956,0.99517,0.99921,0.9994,0.99948,100.0,0.01,0.01,0.02,0.01,67.24,67.42,65.91,67.6,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
4,0.99695,44.56571,0.99858,60.0,0.99868,0.99081,0.9994,0.9997,0.99985,100.0,0.02,0.03,0.03,0.02,64.23,63.63,63.37,64.64,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
5,0.9975,45.46544,0.9961,60.0,0.99627,0.98401,0.99897,0.99953,0.99979,100.0,0.05,0.06,0.07,0.05,61.0,60.67,59.96,61.4,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
6,0.99923,0.19263,0.99404,60.0,0.99426,0.98652,0.99939,0.99972,0.99986,100.0,0.04,0.05,0.05,0.04,61.8,61.49,61.19,62.06,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
7,0.99897,0.19263,0.99405,60.0,0.99427,0.98613,0.99934,0.99971,0.99985,100.0,0.05,0.05,0.05,0.04,61.51,61.24,60.93,61.75,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
8,0.99927,0.34033,0.99406,60.0,0.99427,0.98721,0.99949,0.99978,0.99989,100.0,0.04,0.04,0.04,0.04,62.26,61.93,61.71,62.5,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
9,0.99905,0.08989,0.99405,60.0,0.99427,0.98661,0.99939,0.99973,0.99987,100.0,0.04,0.05,0.05,0.04,61.73,61.47,61.11,61.97,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
10,0.99919,0.08989,0.99405,60.0,0.99426,0.98686,0.99943,0.99975,0.99988,100.0,0.04,0.04,0.05,0.04,61.99,61.71,61.34,62.24,1.0,1.0,1.0,1.0,/tmpdir/crf_16.mpd,/videos/BigBuckBunny-2160.avi
